id;ten_ns;gia;soluong_nhap;soluong_con;noi_san_xuat;mo_ta_ns
1;Nevada Minnesota;45670;54160;53243;2021-11-17T14:47:32;2021-11-17T05:16:17
2;Facilitator high-level Steel;38000;60630;71290;2021-11-17T06:05:53;2021-11-17T15:06:47
3;technologies District Rubber;3739;78985;1193;2021-11-16T21:40:01;2021-11-17T02:37:26
4;Credit conglomeration;29480;75357;68872;2021-11-16T21:08:03;2021-11-16T22:30:57
5;Center Shirt;15228;44665;98851;2021-11-17T03:47:13;2021-11-17T05:39:28
6;value-added Automotive Bulgaria;97116;24582;20718;2021-11-17T10:03:33;2021-11-16T16:22:44
7;Avon high-level;82684;6871;35577;2021-11-16T20:02:00;2021-11-16T18:32:05
8;Berkshire SMS;43300;39925;74553;2021-11-17T07:27:41;2021-11-17T15:39:14
9;Gabon cross-platform feed;60787;51518;71994;2021-11-17T03:00:52;2021-11-16T20:10:12
10;optical;76837;26218;28702;2021-11-17T12:51:22;2021-11-17T07:33:09
